dataset,model,accuracy,f1_score,auc,memory_used_mb,peak_memory_mb,training_time_s,training_time_min,status
4,adaboost_resnet,0.9203703703703703,0.9194907462803077,0.9945613542835765,2.576347,4.364835,71.26853442192078,1.187808907032013,success
4,catboost_resnet,0.975925925925926,0.9760888164532544,0.999869060980172,2.388789,4.183967,122.15412044525146,2.035902007420858,success
4,lightgbm_resnet,0.9935185185185185,0.9935049069414393,0.999953236064347,2.491512,8.261591,14.545970439910889,0.24243284066518148,success
4,lightgbm_mobilenet,0.9574074074074075,0.9574557904451055,0.9990787504676393,0.720068,4.881091,126.71608853340149,2.111934808890025,success
4,mobilenet_iccs_lightgbm,0.8769499914661203,0.8768234842050756,0.9935520679634557,11.289992,15.078712,5.029383182525635,0.0838230530420939,success
4,autoencoder_lightgbm,0.9768518518518519,0.9767238865465288,0.9996399176954732,0.229836,15.449622,98.04568886756897,1.634094814459483,success
4,rbf_svm_gs,0.8398148148148149,0.8376647575416161,0.9872334455667788,0.428176,0.717332,19.764239072799683,0.32940398454666137,success
6,adaboost_resnet,0.9435185185185185,0.9430173947123326,0.9933829031051253,2.454849,4.250005,70.32921099662781,1.1721535166104635,success
6,catboost_resnet,0.9851851851851852,0.9851064543982501,0.9998129442573888,2.373645,4.171029,120.84381294250488,2.0140635490417482,success
6,lightgbm_resnet,0.9962962962962962,0.9962891330073992,0.9999111485222596,2.4082,7.993029,13.118863582611084,0.2186477263768514,success
6,lightgbm_mobilenet,0.9703703703703702,0.9702034098164128,0.999106808829031,0.749911,4.715041,125.83975529670715,2.097329254945119,success
6,mobilenet_iccs_lightgbm,0.8546296296296296,0.8543002271835182,0.9914515525626637,11.270446,15.07922,5.861224412918091,0.09768707354863485,success
6,autoencoder_lightgbm,0.986111111111111,0.9861348920791645,0.999869060980172,0.233617,15.569572,95.02909350395203,1.583818225065867,success
6,rbf_svm_gs,0.95,0.949859385919984,0.9978815937149271,0.343887,0.674078,18.919788122177124,0.3153298020362854,success
8,adaboost_resnet,0.9259259259259259,0.9259410560378052,0.9922886270108492,2.471946,4.266878,70.48882412910461,1.174813735485077,success
8,catboost_resnet,0.9879629629629629,0.9878886483569147,0.9998737373737374,2.390585,4.186976,119.39947748184204,1.989991291364034,success
8,lightgbm_resnet,0.9907407407407408,0.9907464209012197,0.9998503554059109,2.429391,8.183028,13.712198257446289,0.2285366376241048,success
8,lightgbm_mobilenet,0.975925925925926,0.9760513987029883,0.9995183314627759,0.764478,4.772689,125.04528713226318,2.084088118871053,success
8,mobilenet_iccs_lightgbm,0.9768518518518519,0.9767348781474168,0.9989992517770295,11.22044,14.997976,6.262529611587524,0.10437549352645874,success
8,autoencoder_lightgbm,0.986111111111111,0.9860831729562379,0.9999251777029554,0.341597,15.573678,97.37317299842834,1.6228862166404725,success
8,rbf_svm_gs,0.9953703703703702,0.9953495153495154,0.9995791245791246,0.382223,0.758913,19.20672345161438,0.32011205752690636,success
