NAMA,MQ135,MQ138,MQ136,MQ2,MQ3,MQ6,MQ5,MQ7
rGed-M,4892,2997,4573,378,5282,270,108,384
rGed-M,4863,2986,4545,375,5266,267,109,379
rGed-M,4845,2979,4527,372,5266,265,113,378
rGed-M,4817,2967,4499,369,5251,261,113,374
rGed-M,4833,2951,4500,358,5227,262,104,389
rGed-M,4799,2939,4469,355,5211,259,103,384
rGed-M,4768,2926,4440,352,5196,256,104,380
rGed-M,4736,2913,4409,349,5179,253,104,375
rGed-M,4705,2901,4380,347,5164,249,104,370
rGed-M,4982,2862,4767,484,4616,247,95,222
rGed-M,4971,2860,4759,481,4614,245,96,219
rGed-M,4953,2855,4742,479,4605,242,97,212
rGed-M,4943,2857,4736,477,4606,242,103,209
rGed-M,4927,2855,4722,474,4601,240,105,205
rGed-M,4513,2738,4373,435,5100,206,144,308
rGed-M,4492,2732,4353,432,5089,204,145,303
rGed-M,4471,2726,4334,429,5077,201,146,297
rGed-M,4461,2725,4327,427,5082,200,150,296
rGed-M,4440,2717,4306,424,5072,197,152,291
rGed-M,4579,2795,4385,395,5174,205,136,348
rGed-M,4555,2787,4363,393,5160,203,136,343
rGed-M,4533,2780,4343,390,5148,200,137,338
rGed-M,4509,2771,4320,387,5133,198,137,332
rGed-M,4486,2763,4299,384,5120,195,137,327
rGed-M,4516,2719,4216,348,5116,183,106,283
rGed-M,4493,2711,4195,346,5100,181,106,278
rGed-M,4471,2705,4176,344,5087,179,106,274
rGed-M,4447,2696,4154,341,5071,177,105,269
rGed-M,4424,2689,4133,339,5056,174,106,264
rGed-M,4273,2556,3917,308,5043,151,97,239
rGed-M,4261,2556,3910,306,5043,149,100,238
rGed-M,4240,2550,3892,304,5029,146,101,233
rGed-M,4216,2542,3872,302,5012,145,100,228
rGed-M,4195,2535,3853,300,4997,142,99,223
rGed-M,4054,2399,3637,273,4944,114,70,160
rGed-M,4030,2392,3617,272,4926,112,69,155
rGed-M,4008,2386,3598,270,4911,109,69,151
rGed-M,3997,2385,3590,268,4911,108,73,150
rGed-M,3975,2378,3570,266,4895,105,73,146
rGed-D,3969,2449,3444,159,4644,115,131,215
rGed-D,3957,2453,3440,159,4645,115,136,217
rGed-D,3936,2452,3425,158,4632,114,137,217
rGed-D,3913,2449,3408,157,4617,113,137,216
rGed-D,3890,2446,3393,157,4603,111,138,215
rGed-D,5069,3139,4654,285,6204,79,129,132
rGed-D,5053,3139,4643,284,6205,78,133,133
rGed-D,5026,3133,4620,283,6190,76,134,130
rGed-D,4997,3125,4596,282,6174,75,135,127
rGed-D,4969,3119,4574,281,6159,73,136,125
rGed-D,4733,2812,4282,267,5456,65,97,98
rGed-D,4704,2804,4258,266,5439,63,97,95
rGed-D,4676,2796,4235,264,5424,61,98,92
rGed-D,4647,2786,4210,262,5407,60,97,89
rGed-D,4620,2778,4187,261,5391,58,98,86
rGed-D,4522,2642,4025,246,5167,55,89,87
rGed-D,4494,2634,4001,245,5149,54,88,84
rGed-D,4467,2627,3979,244,5134,51,89,81
rGed-D,4440,2618,3954,242,5117,50,88,78
rGed-D,4414,2609,3932,241,5101,48,89,76
rGed-D,4313,2480,3774,226,4935,39,64,52
rGed-D,4285,2473,3751,224,4918,37,64,49
rGed-D,4260,2466,3730,223,4904,35,64,46
rGed-D,4233,2458,3708,222,4886,34,64,43
rGed-D,4208,2451,3686,221,4871,32,64,40
rGed-D,4175,2379,3617,211,4842,30,61,42
rGed-D,4148,2372,3594,209,4824,29,61,39
rGed-D,4123,2365,3572,208,4808,27,61,36
rGed-D,4097,2357,3549,207,4791,25,61,33
rGed-D,4072,2350,3528,206,4776,23,61,30
rGed-D,4229,1856,3579,274,1749,202,103,61
rGed-D,4233,1859,3586,272,1759,199,106,59
rGed-D,4223,1854,3577,270,1756,194,107,50
rGed-D,4225,1856,3583,268,1765,190,110,47
rGed-D,4214,1850,3572,266,1760,185,110,38
rGed-D,4016,2292,4220,284,2923,103,64,33
rGed-D,4000,2289,4211,283,2917,101,64,25
rGed-D,3987,2287,4203,281,2913,98,64,17
rGed-D,3986,2292,4208,279,2923,96,68,15
rGed-D,3973,2289,4200,278,2919,94,68,7
rGed-D,4016,2292,4220,284,2923,103,64,33
rGed-D,4000,2289,4211,283,2917,101,64,25
rGed-D,3987,2287,4203,281,2913,98,64,17
rGed-D,3986,2292,4208,279,2923,96,68,15
rGed-D,3973,2289,4200,278,2919,94,68,7
rGed-D,3909,2231,4137,251,2971,84,56,38
rGed-D,3894,2228,4127,249,2965,82,55,31
rGed-D,3881,2226,4118,248,2960,79,55,24
rGed-D,3863,2222,4105,246,2951,77,54,16
rGed-D,3851,2221,4099,244,2949,75,55,10
rGed-D,3893,2221,4119,229,3026,73,50,46
rGed-D,3877,2219,4109,227,3020,71,50,40
rGed-D,3864,2218,4100,226,3016,69,50,34
rGed-D,3847,2214,4090,224,3009,66,50,27
rGed-D,3833,2212,4080,223,3004,64,50,21
rGed-D,3784,2143,3933,194,3063,54,42,34
rGed-D,3770,2142,3923,193,3058,52,42,28
rGed-D,3757,2142,3916,192,3053,49,43,24
rGed-D,3740,2139,3904,190,3045,47,42,18
rGed-D,3726,2137,3894,189,3041,44,42,13
rGed-D,5759,3448,6055,262,4875,85,75,139
rGed-D,5747,3453,6052,260,4870,83,75,135
rGed-D,5736,3460,6052,259,4869,81,76,130
rGed-D,5737,3471,6064,259,4879,80,80,130
rGed-D,5725,3476,6061,257,4876,78,81,126
rGed-D,4808,2913,5212,265,3981,82,64,109
rGed-D,4791,2911,5201,263,3974,81,64,104
rGed-D,4776,2911,5192,262,3970,78,65,100
rGed-D,4758,2909,5180,260,3963,76,65,95
rGed-D,4743,2908,5170,259,3959,74,66,91
rGed-D,4475,2654,4830,248,3580,67,51,82
rGed-D,4457,2651,4817,246,3572,65,50,77
rGed-D,4442,2650,4807,245,3568,63,51,73
rGed-D,4438,2653,4808,244,3576,62,55,72
rGed-D,4422,2652,4797,242,3570,59,56,67
rGed-D,4228,2463,4507,226,3390,41,45,47
rGed-D,4210,2460,4494,225,3382,39,44,42
rGed-D,4195,2458,4483,223,3377,36,45,38
rGed-D,4178,2455,4470,222,3369,34,44,33
rGed-D,4162,2453,4458,220,3364,32,45,28
rGed-D,4130,2379,4357,212,3307,31,39,25
rGed-D,4114,2377,4346,210,3300,29,38,20
rGed-D,4099,2375,4335,209,3296,26,39,15
rGed-D,4082,2372,4321,208,3288,24,39,11
rGed-D,4066,2369,4309,206,3282,21,40,6
rGed-D,4055,2320,4245,200,3273,29,39,21
rGed-D,4053,2325,4248,199,3283,28,43,20
rGed-D,4039,2326,4238,198,3279,25,44,15
rGed-D,4022,2322,4224,197,3271,23,43,11
rGed-D,4006,2320,4211,195,3264,20,44,6
